Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.01,.04,.07,.00,-.11,-.24,-.16,.08,-.04,-.13,.01,.07,-.03,***,***,-.02,-.11,-.05
1881,-.07,-.05,.11,.11,.10,-.04,-.06,-.01,-.03,.01,.01,.11,.02,.01,-.02,.11,-.04,.00
1882,.08,.08,.08,.00,-.03,-.14,-.03,.02,-.03,.04,.00,-.06,.00,.02,.09,.02,-.05,.01
1883,-.01,-.07,-.07,-.06,-.09,-.01,-.07,-.04,-.09,-.05,-.03,-.05,-.05,-.05,-.05,-.07,-.04,-.06
1884,-.07,-.04,-.09,-.20,-.31,-.28,-.20,-.06,-.10,-.05,-.09,-.14,-.14,-.13,-.06,-.20,-.18,-.08
1885,-.19,-.22,-.29,-.35,-.32,-.42,-.32,-.21,-.18,-.12,-.10,-.08,-.23,-.24,-.18,-.32,-.32,-.13
1886,-.13,-.19,-.16,-.19,-.14,-.31,-.20,-.18,-.14,-.23,-.14,-.27,-.19,-.17,-.14,-.16,-.23,-.17
1887,-.36,-.43,-.26,-.30,-.34,-.27,-.26,-.16,-.29,-.21,-.23,-.22,-.28,-.28,-.35,-.30,-.23,-.25
1888,-.19,-.12,-.20,-.18,-.28,-.30,-.19,-.09,-.03,.07,.08,.16,-.11,-.14,-.18,-.22,-.19,.04
1889,.09,.04,.14,.04,.03,-.12,-.06,-.19,-.16,-.09,-.04,-.03,-.03,-.01,.10,.07,-.12,-.10
1890,-.19,-.31,-.32,-.34,-.42,-.32,-.31,-.38,-.37,-.38,-.23,-.15,-.31,-.30,-.18,-.36,-.34,-.33
1891,-.20,-.24,-.19,-.18,-.16,-.28,-.22,-.21,-.22,-.15,-.09,-.04,-.18,-.19,-.20,-.18,-.24,-.15
1892,-.08,-.05,-.13,-.20,-.22,-.37,-.25,-.20,-.12,.01,-.02,-.10,-.14,-.14,-.05,-.18,-.27,-.04
1893,-.12,-.16,-.11,-.23,-.23,-.31,-.13,-.16,-.15,-.07,-.02,-.01,-.14,-.15,-.13,-.19,-.20,-.08
1894,-.13,-.14,-.23,-.34,-.33,-.39,-.25,-.19,-.21,-.16,-.02,-.05,-.20,-.20,-.09,-.30,-.28,-.13
1895,-.11,-.04,-.15,-.23,-.23,-.20,-.13,-.05,-.17,-.11,-.19,-.04,-.14,-.14,-.07,-.20,-.13,-.16
